5000		4855.3807		39.1671	47.1318	114.0277	468.6189
7500		10689.3622		74.7882	86.7587	172.9844	619.6206
10000		19051.5106		120.0001	136.42000	247.7979	775.5062
12500		28606.8742		177.4413	195.1322	334.4614	932.8542
15000		40662.5333		245.0273	265.9021	427.3507	1111.6941
17500		53541.7653		324.7835	346.8291	541.5939	1300.7489
20000		65914.0746		408.893	440.1592	649.1843	1503.0587
