5000	59402	15598684	2225906	539828	212100
7500	127492	35197626	5095182	1475558	614038
10000	230608	62679974	9288064	3008716	1301178
12500	360366	97895450	14179606	4861540	2274312
15000	513254	140878582	20856650	7443502	3657072
17500	709030	191201676	28493468	10354652	5628592
20000	882664	250042840	37122902	13520478	7499648
