Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	4336.267	1237.6858	2224.0207	1230.8433	11861.0969	12246.931999999999	
5%	4413.637	1239.4063	2248.497	1204.495	13460.3622	12406.465	
10%	4326.624	1230.3805	2310.4428	1166.7421	15799.5406	12386.867	
30%	4355.009	1242.182	6889.3514	1036.5774999999999	26825.3185	12163.271999999999	
