Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	5064.103	2258.8947	11452.1816	1972.542	7021.7125	21913.097999999998	
5%	5548.987	2267.7049	11540.141	1967.2147	8104.8309	35231.771	
10%	5366.511	2260.9393	5916.5449	1952.6384	13247.9661	24450.079999999998	
30%	5365.341	2382.708	11901.1358	2506.1643	126669.9457	23318.865999999998	
