Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	5140.991	5472.7953	10226.7338	5011.508	14684.8405	26040.027000000002	
5%	5211.908	5482.893	9989.3819	4912.1555	15387.9156	25753.565	
10%	5323.668	5394.4454	10173.7052	4750.1054	37373.7926	36392.378	
30%	5443.508	5271.7657	10644.3465	3976.5177	245283.7916	50040.392	
