Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	4881.888	5308.574625	9714.574499999999	5029.12725	12872.9695	43508.676375	
5%	2591.880	5330.8705	9370.82425	4893.373625	24592.744125	22535.314875	
10%	2643.141	5257.928	9654.9755	4690.290625	36963.432375	22888.335375000002	
30%	5098.101	5145.47425	10348.303875	3953.611125	241376.571875	45049.323375	
