Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	5029.018	2233.9575	11526.83675	1924.202375	6204.9585	19856.785499999998	
5%	2352.121	2243.62725	11501.811249999999	1922.781625	7209.28575	19794.17025	
10%	2394.026	2273.1169999999997	6287.6341250000005	1920.607875	13195.245875	20047.505625	
30%	4911.401	2397.541375	10360.334375	2500.977875	126949.7915	43571.311875	
