s100_x2-----
pdQuery/Q2_maybms.sql: 14759.754, 14824.383, 14843.406, 14938.916, 14910.168, 14766.153, 15044.793, 14845.385
pdQuery/Q3_maybms.sql: 13218.085, 13186.449, 13135.858, 13171.038, 13218.513, 13528.758, 13050.467, 13052.799
s100_x30-----
pdQuery/Q1.sql: 5005.171, 4949.900, 5086.039, 5008.240, 4952.161, 5059.301, 5020.151, 4962.880
pdQuery/Q2.sql: 1234.888, 1216.034, 1221.547, 1226.812, 1219.912, 1228.783, 1217.008, 1226.686
pdQuery/Q3.sql: 4821.081, 4833.777, 4863.957, 4854.422, 4854.125, 4835.972, 4821.298, 4845.423
pdQuery/Q1_uadb.sql: 5162.222, 5123.634, 5126.323, 5154.277, 5116.185, 5189.337, 5161.158, 5130.658
pdQuery/Q2_uadb.sql: 1221.752, 1228.546, 1238.862, 1224.528, 1222.215, 1238.163, 1225.382, 1225.993
pdQuery/Q3_uadb.sql: 2401.141, 2390.771, 2399.771, 2373.710, 2406.976, 2411.778, 2364.941, 2431.243
pdQuery/Q1_radb.sql: 10444.732, 10461.441, 10418.861, 10285.991, 10472.160, 10364.192, 10244.083, 10094.971
pdQuery/Q2_radb.sql: 6852.743, 6792.226, 6774.608, 6794.870, 6776.735, 6780.140, 6789.340, 6675.746
pdQuery/Q3_radb.sql: 10246.896, 10407.496, 10476.816, 10307.801, 10510.271, 10232.337, 10438.504, 10262.554
pdQuery/Q1_cert.sql: 3955.921, 3935.743, 3968.561, 3956.634, 3951.234, 3962.671, 3954.518, 3943.607
pdQuery/Q2_cert.sql: 1042.712, 1037.022, 1047.518, 1044.833, 1042.886, 1041.464, 1057.469, 1047.663
pdQuery/Q3_cert.sql: 2446.287, 2448.923, 2522.741, 2516.501, 2656.743, 2455.640, 2526.018, 2434.970
pdQuery/Q1_maybms.sql: 241211.870, 239768.588, 240544.888, 240510.734, 240691.928, 243859.308, 240746.538, 243678.721
pdQuery/Q2_maybms.sql: 27449.254, 26635.617, 27123.341, 27026.475, 27273.651, 26966.473, 27044.430, 26881.074
pdQuery/Q3_maybms.sql: 125839.856, 127275.785, 127551.244, 126675.555, 128197.724, 127266.496, 126091.102, 126700.570
