Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	1546.504	1225.651375	2196.19525	1241.5735	11760.051625	10788.478875	
5%	1501.357	1224.80525	2227.941125	1213.0425	13430.231749999999	10932.465375	
10%	1512.529	1231.471375	2290.98675	1170.849875	14866.61975	11018.113875000001	
30%	1579.102	1228.180125	6779.551	1045.195875	27050.039375	11015.62875	
