Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	4745.222	5694.889	83839.618	3794.140	29766.146	43879.443999999996	
5%	4720.137	5613.609	84552.019	3851.841	19516.050	41188.570999999996	
10%	4742.967	5593.369	65189.867	3745.857	53328.623	47377.94600000001	
30%	4885.688	5685.363	55707.459	6500.736	302635.379	48811.72899999999	
