Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	2388.499	2565.626	6293.793	3505.513	17969.163	23805.121	
5%	2402.548	2579.764	6612.074	3453.516	20867.543	23985.442	
10%	2423.219	2560.062	6615.740	3251.269	25660.189	24130.486999999997	
30%	2421.638	2538.235	7958.127	3019.215	47214.273	23964.748	
