Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	12376.301	10290.706	82065.175	9986.018	17807.457	90108.802	
5%	9978.054	10367.629	79023.648	9932.901	35175.777	90317.872	
10%	11838.345	10327.759	81641.511	9648.921	54612.723	94971.978	
30%	11892.863	10481.675	90600.969	8101.743	470665.895	95125.704	
