Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	12862.905	5229.0551	10061.622299999999	4968.9799	17060.7817	98742.04800000001	
5%	12852.879	5442.1507	9703.1773	4883.5057	18294.7759	104378.529	
10%	12457.643	5383.4281	9637.6933	4697.433	37168.0869	99665.17199999999	
30%	12534.813	5219.0996	10395.4951	3963.4867	283254.08640000003	101064.40499999998	
