Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	2486.921	898.4769	2186.0834	1232.0813	11658.5785	25141.341000000004	
5%	2405.702	895.7499	2227.963	1205.3839	13430.182999999999	24842.658000000003	
10%	2407.365	898.3905	2298.4098	1162.104	16229.4908	24650.206	
30%	2413.898	893.131	6811.707	1023.6955	27150.1209	24888.737999999998	
