Query    Det    UA-DB    AU-DB    Libkin    MayBMS    MCDB 
0.1GB    319.6326    302.8619    1124.5994    254.1905    436.4322    1962.8880000000001    
1GB    2171.0549	2076.2822	11501.6836	1904.0404	6048.7065	21630.994    
10GB    26332.7086    26512.8671    110464.9594    31950.47    56693.3326    262078.334    
