Query    Det    UA-DB    AU-DB    Libkin    MayBMS    MCDB 
0.1GB    64.4277    66.9238    159.3815    99.1235    257.2946    650.0060000000001    
1GB    1216.7942	1244.6436	2243.5864	1581.1585	11386.2694	12066.894   
10GB    5862.0126    5879.9737000000005    15057.1641    9279.716199999999    103256.5243    58659.208    
