Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	4845.727	5649.020	84672.473	3833.507	31493.935	42073.499	
5%	4811.754	5850.281	87099.605	3824.896	35284.158	48827.987	
10%	4866.851	5726.055	66791.895	4019.720	51660.236	48768.709	
30%	1.548	2.055	57617.384	5.067	303651.357	14.613	
