Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	2420.559	2604.669	6320.087	3572.461	18645.589	24296.702999999998	
5%	2419.717	2651.004	6543.811	3423.395	20830.853	24003.050000000003	
10%	2387.905	2529.467	6746.440	3550.646	26418.801	23842.201	
30%	2511.085	2642.700	8343.896	3064.043	47508.115	25274.400000000005	
