Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	12826.413	10352.386	78277.332	10286.838	17734.358	92842.819	
5%	12552.315	10398.253	80352.045	10028.347	32506.694	91275.591	
10%	11978.869	10454.092	83971.477	10032.153	59665.734	93495.815	
30%	12131.830	10806.975	91035.733	8455.053	465503.214	98873.221	
