Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	1216.7942	1244.6436	2243.5864	1581.1585	11386.2694	12066.894	
5%	1218.0606	1234.2069	2262.1297	1558.4432	12841.9703	12232.576	
10%	1217.5665999999999	1235.0183	2322.717	1530.9392	26362.4125	12195.488000000001	
30%	1237.7482	1235.6035	6773.3867	1443.2043	45925.7213	12345.021999999999	
