Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	2557.4724	2489.085	9894.710299999999	2944.4698	10097.3418	25620.066000000003	
5%	4731.298	5154.2896	9300.4948	2907.1105000000002	23044.4733	25252.001999999997	
10%	2552.6999	5136.4919	9439.884399999999	2863.183	31025.0996	25332.258	
30%	5042.6389	5025.2991999999995	10146.5207	2663.2514	302797.6503	50432.602	
