s100_x2-----
pdQuery/Q1_radb.sql: 9358.707, 9345.594, 9532.596, 9444.277, 9291.695, 9350.600, 9490.619, 9561.508, 9513.705, 9509.543
pdQuery/Q2_radb.sql: 2315.239, 2326.224, 2351.216, 2338.039, 2349.417, 2290.878, 2319.918, 2314.334, 2306.263, 2315.642
pdQuery/Q3_radb.sql: 6343.466, 6301.315, 6254.076, 6234.418, 6316.496, 6293.208, 6231.064, 6213.427, 6270.792, 6293.878
pdQuery/Q1_cert.sql: 2847.727, 2848.805, 2876.179, 2872.882, 2885.133, 2845.066, 2835.579, 2843.439, 2859.594, 2917.426
pdQuery/Q2_cert.sql: 1537.510, 1518.852, 1525.407, 1544.200, 1526.314, 1520.942, 1536.819, 1542.972, 1530.592, 1525.784
pdQuery/Q3_cert.sql: 1905.576, 1900.600, 1927.396, 1931.091, 1919.170, 1920.608, 1908.758, 1931.813, 1885.137, 1901.542
pdQuery/Q1_maybms.sql: 31075.631, 31034.297, 30926.704, 31227.487, 31122.226, 31171.800, 31075.596, 30854.680, 30905.727, 30856.848
pdQuery/Q2_maybms.sql: 26264.009, 26367.256, 26322.909, 26473.148, 26433.245, 26302.660, 26452.209, 26306.849, 26328.324, 26373.516
pdQuery/Q3_maybms.sql: 13324.390, 13253.280, 13433.647, 13328.229, 13774.847, 13470.090, 13140.358, 13176.780, 13411.968, 13376.412
s100_x30-----
pdQuery/Q1.sql: 5031.774, 5057.437, 4976.655, 5132.140, 5050.616, 5039.813, 5037.989, 5030.554, 5031.848, 5037.563
pdQuery/Q2.sql: 1235.736, 1240.248, 1237.269, 1232.632, 1238.582, 1236.878, 1237.455, 1236.108, 1241.735, 1240.839
pdQuery/Q3.sql: 2276.246, 2356.188, 2356.480, 2316.265, 2337.386, 2229.749, 2271.732, 2352.507, 2351.295, 2338.755
pdQuery/Q1_uadb.sql: 5168.621, 4959.704, 5012.741, 4979.866, 4999.991, 4909.074, 5196.391, 4770.381, 4994.635, 5261.588
pdQuery/Q2_uadb.sql: 1232.910, 1240.062, 1239.260, 1243.615, 1231.365, 1238.310, 1237.796, 1232.357, 1228.324, 1232.036
pdQuery/Q3_uadb.sql: 2450.296, 2410.630, 2402.033, 2419.362, 2423.218, 2446.620, 2425.336, 2410.573, 2459.900, 2418.075
pdQuery/Q1_radb.sql: 10414.124, 10139.628, 10193.041, 10141.551, 10124.534, 10102.414, 10076.104, 10109.284, 10072.206, 10092.321
pdQuery/Q2_radb.sql: 6778.165, 6888.231, 6684.926, 6793.703, 6700.551, 6779.600, 6895.622, 6826.895, 6678.584, 6707.590
pdQuery/Q3_radb.sql: 11719.717, 11655.987, 11738.170, 11696.294, 11674.794, 11689.349, 11714.858, 11631.603, 11622.378, 11617.872
pdQuery/Q1_cert.sql: 2655.750, 2647.778, 2678.656, 2661.724, 2671.927, 2660.644, 2667.049, 2648.386, 2675.497, 2665.103
pdQuery/Q2_cert.sql: 1438.660, 1441.114, 1438.807, 1436.629, 1456.374, 1457.172, 1440.638, 1439.718, 1441.390, 1441.541
pdQuery/Q3_cert.sql: 2422.953, 2453.591, 2470.656, 2421.491, 2485.765, 2432.569, 2481.856, 2410.202, 2480.222, 2403.984
pdQuery/Q1_maybms.sql: 302902.157, 302592.025, 302633.223, 303664.180, 302602.059, 302216.075, 302088.302, 304143.811, 302781.203, 302353.468
pdQuery/Q2_maybms.sql: 45911.145, 46339.281, 45915.102, 45750.352, 46068.323, 45670.928, 45632.757, 46064.957, 46060.839, 45843.529
pdQuery/Q3_maybms.sql: 127078.483, 127413.649, 128056.538, 127302.522, 127792.674, 125545.667, 128001.349, 126975.106, 126695.523, 125649.161
