Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	2171.0549	2076.2822	11501.6836	1904.0404	6048.7065	21630.994	
5%	2201.3167	2254.8608	11541.1883	1913.1252	8890.2346	21756.271999999997	
10%	2181.9447	2113.7362	6275.214	1913.1691	13369.000100000001	21822.958	
30%	2318.6603	2426.6043	11676.1022	2446.3289	127051.0672	23145.804000000004	
