Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	4294.296	1264.83525	2220.876625	1229.90725	11801.108	12362.79125	
5%	4326.091	1254.3985	2257.55325	1200.082625	13352.49225	12371.8175	
10%	4288.739	1256.65925	2315.94175	1159.8955	15709.5435	12402.8575	
30%	4335.848	1253.34625	6980.54	1029.167625	27029.789875	12369.626250000001	
