Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	4825.075	5394.3083750000005	9879.161	4974.742625	17102.169	25319.1525	
5%	4983.487	5357.55025	9590.584625	4862.363125	15216.530125	25166.78625	
10%	5145.673	5268.00575	9740.638375	4687.96425	37080.47025	49980.72625	
30%	5300.209	5171.649125	10468.810375000001	3945.468375	243350.609	49470.138750000006	
