Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	5002.143	2269.16075	11408.05475	1930.136375	6035.475125	21948.19125	
5%	5107.550	2259.89	11405.98475	1922.8398750000001	7948.7325	22014.86625	
10%	5069.008	2262.816375	6319.4596249999995	1940.7105	13078.813	21898.795	
30%	5427.431	2408.6	10201.19825	2475.992	126068.21025	23176.57625	
