Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	2186.668625	2246.1935000000003	11699.91575	1940.794	6947.494	19646.88525	
5%	2177.935125	2085.2895	11622.92725	1930.262875	7166.037625	19590.718500000003	
10%	2168.02	2269.95775	6446.329125	1935.4865	13041.278624999999	19594.805625	
30%	3260.6235	2402.96025	10362.83175	2450.405375	128500.101625	20758.34475	
