Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	5053.7235	5198.1963749999995	9859.014875	3016.0967499999997	12608.67425	45571.4145	
5%	3791.862	3580.580625	9672.11725	2946.471	22169.465	22990.534874999998	
10%	2617.723375	5033.6873749999995	9704.315125000001	2904.079	31502.7465	23314.28625	
30%	5179.230125	5027.2185	10493.818374999999	2720.59075	306315.643	46195.83562499999	
