Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	1246.812	1277.713375	2248.82625	1612.891875	11380.436249999999	11212.423875	
5%	1264.34625	1288.502625	2289.999125	1602.24825	12595.978625	11353.890374999999	
10%	1247.58075	1262.47475	2364.686125	1581.172125	25875.98025	11268.1485	
30%	1261.456375	1267.08875	6898.653125	1497.896	45245.12575	11313.689624999999	
