Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	9565.791	10120.062	79128.466	9974.677	18143.804	87659.843	
5%	12147.668	10123.119	78151.127	9645.249	31492.880	90086.453	
10%	11568.167	10277.428	84023.176	9582.155	53595.178	90317.96500000001	
30%	11821.715	10453.494	88260.605	8113.949	472290.999	93693.351	
