Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	2469.565	2561.975	6412.150	3552.279	18058.349	24649.143000000004	
5%	2538.541	2559.326	6501.419	3466.641	20228.799	25071.394	
10%	2393.430	2644.832	6949.091	3481.035	24175.145	24148.015	
30%	2402.456	2568.197	8050.272	2890.172	46757.900	24221.406000000003	
