Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	3504.502	3749.215	90681.808	3879.579	29945.600	35253.140999999996	
5%	4883.502	5727.256	84502.218	3825.496	33713.784	48858.596999999994	
10%	4824.255	5756.902	65014.068	4029.794	29288.143	48456.877	
30%	4882.629	5785.105	55940.277	6789.431	299627.313	48750.667	
