Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	2227.9645	2095.85075	11422.299625	1934.373	6113.774125	19826.4555	
5%	2107.462125	2132.3415	11801.071125	1925.127125	8114.3575	18852.70725	
10%	2209.989375	2135.359625	6314.524625	1937.185	13256.666	19828.947375	
30%	4205.042375	2402.7335	16740.156625	2512.42675	126730.899	21299.6745	
