Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	4940.2575	4885.078875	10127.383625	5009.26	17199.1105	44515.12725	
5%	4956.01275	4494.36275	9937.24025	4892.383625	18212.039	44758.719	
10%	4982.61025	5322.479	9534.009875	4711.808625	37349.740125	44814.471750000004	
30%	5089.93375	5240.3975	10490.808375	3970.0387499999997	284217.18487500004	45414.508499999996	
