s100_x2-----
pdQuery/Q2_maybms.sql: 15920.057, 15642.402, 15695.415, 15782.606, 15886.671, 15751.549, 17031.686, 15901.362
pdQuery/Q3_maybms.sql: 13629.489, 13183.702, 13317.847, 13255.932, 13148.304, 13134.167, 13201.559, 13182.328
s100_x30-----
pdQuery/Q1.sql: 5021.511, 5150.781, 5060.849, 5040.897, 5011.586, 5012.059, 5374.879, 5046.908
pdQuery/Q2.sql: 1232.919, 1239.600, 1239.590, 1224.761, 1227.336, 1235.244, 1229.401, 1233.364
pdQuery/Q3.sql: 4820.205, 4815.408, 4809.664, 4821.008, 4836.474, 4819.660, 2344.329, 2373.591
pdQuery/Q1_uadb.sql: 5248.982, 5180.125, 5243.640, 5253.578, 5220.978, 5355.690, 5231.848, 5188.339
pdQuery/Q2_uadb.sql: 1241.334, 1258.530, 1250.671, 1240.696, 1251.632, 1266.211, 1251.522, 1239.568
pdQuery/Q3_uadb.sql: 2410.428, 2401.851, 2426.644, 2407.149, 2369.872, 2323.957, 2437.798, 2444.169
pdQuery/Q1_radb.sql: 10496.011, 10201.620, 10597.925, 10645.371, 10336.190, 10699.087, 10466.289, 10483.974
pdQuery/Q2_radb.sql: 6825.518, 6829.475, 6863.726, 6712.661, 6825.409, 6911.209, 6794.159, 6818.458
pdQuery/Q3_radb.sql: 17109.672, 17240.623, 16980.469, 16191.293, 16502.738, 16392.582, 16556.100, 16947.776
pdQuery/Q1_cert.sql: 4000.348, 3944.591, 3977.990, 3970.409, 3977.429, 3920.991, 3988.004, 3980.548
pdQuery/Q2_cert.sql: 1033.178, 1044.128, 1040.334, 1045.190, 1041.062, 1043.288, 1038.678, 1036.548
pdQuery/Q3_cert.sql: 2559.858, 2465.465, 2565.533, 2474.680, 2558.589, 2463.844, 2454.106, 2557.339
pdQuery/Q1_maybms.sql: 284527.309, 284439.890, 284105.048, 284914.986, 284121.743, 284075.754, 283563.223, 283989.526
pdQuery/Q2_maybms.sql: 27512.247, 27886.214, 27002.368, 27108.777, 27012.187, 27358.220, 26641.164, 27218.513
pdQuery/Q3_maybms.sql: 126710.419, 125716.262, 127438.472, 126796.809, 127424.770, 125432.039, 127435.481, 126892.940
