Query	Det	UA-DB	AU-DB	Libkin	MayBMS	MCDB 
2%	1230.680375	1259.8725	2244.175625	1239.605125	11727.098625	10998.041625	
5%	1236.733	1246.327375	2271.81075	1212.498625	13484.649625	11087.114625	
10%	1230.752375	1243.8007499999999	2332.456125	1167.426625	15951.4685	11066.540625	
30%	1232.776875	1250.0205	6822.576875	1040.30075	27217.46125	11124.829125	
