Query    Det    UA-DB    AU-DB    Libkin    MayBMS    MCDB 
0.1GB    319.6326    302.8619    1124.5994    254.1905    436.4322    1962.8880000000001    
1GB    1567.9642    1624.5008    8407.808    1473.8965    3187.0304    15699.493999999999    
10GB    26332.7086    26512.8671    110464.9594    31950.47    56693.3326    262078.334    
