Query    Det    UA-DB    AU-DB    Libkin    MayBMS    MCDB 
0.1GB    64.4277    66.9238    159.3815    99.1235    257.2946    650.0060000000001    
1GB    590.3356    599.1276    1521.5248000000001    926.4884000000001    3530.2652    5945.83    
10GB    5862.0126    5879.9737000000005    15057.1641    9279.716199999999    103256.5243    58659.208    
